Cellline	Drug A	Drug B	Barbara	Åsmund	Evelina	Gold Standard	Comment	HSA	Bliss	Loewe	Loewe capped	Strong (visual)	Strong (Bliss)	Strong		Threshold Bliss/HSA	CV Åsmund	Example			Barbara	Åsmund	Evelina	Gold standard	Bliss-call	HSA-call
MDA-MB-468	SF	G4	Synergy	Synergy	Synergy	Synergy		-0.1862405444	-0.1775710929	2.607687481	2.607687481	1	1	TRUE							1	1	1	1	1	1
UACC62	G2	P5	Synergy	Synergy	Synergy?			-0.191570225	-0.1775041292	0.7106714383	0.7106714383	0	1	FALSE							1	1	1	0	1	1
SF295	PI	G2	Synergy	Synergy?	Synergy			-0.1874501817	-0.1770050796	1.83888006	1.83888006	0	1	FALSE							1	1	1	0	1	1
MDA-MB-468	BI	P5	Synergy	-	Synergy?			-0.09659649739	-0.1753552281	0.9676095114	0.9676095114	0	1	FALSE							1	0	1	0	1	0
SF295	PI	SF	Synergy	Synergy?	Synergy?			-0.1311366562	-0.1727956108	245876827.9	245876827.9	0	1	FALSE							1	1	1	0	1	1
A498	BI	PD	Synergy	Synergy	Synergy	Synergy		-0.1231800205	-0.1724729104	14218.64815	14218.64815	1	1	TRUE							1	1	1	1	1	1
MDA-MB-468	D1	P5	Synergy	-	Synergy			-0.177779232	-0.1711840351	0.3607311928	0.3607311928	0	1	FALSE							1	0	1	0	1	1
Colo205	AK	60	Synergy	Synergy	Synergy	Synergy		-0.1503995115	-0.1694159747	131308913450	131308913450	1	1	TRUE							1	1	1	1	1	1
A498	PK	ST	-	-				-0.163375053	-0.1686719893	1.619551894	1.619551894	0	1	FALSE							0	0	0	0	1	1
AGS	AK	SF	Synergy	Synergy	Synergy	Synergy		-0.190862082	-0.1677315158	0.6785661566	0.6785661566	1	1	TRUE							1	1	1	1	1	1
MDA-MB-468	PI	JN	Synergy	Synergy	Synergy	Synergy		-0.1612514273	-0.1674507315	0.5916023424	0.5916023424	1	1	TRUE							1	1	1	1	1	1
MDA-MB-468	PI	D1	Synergy	Synergy	Synergy	Synergy		-0.1576309833	-0.1665019265	0.5294986756	0.5294986756	1	1	TRUE							1	1	1	1	1	1
UACC62	PI	P5		Synergy?	Synergy?			-0.1635983867	-0.1656058299	1.361398618	1.361398618	0	1	FALSE							0	1	1	0	1	1
MDA-MB-468	G4	P5		-	Synergy			-0.1647756374	-0.1655947393	0.3296017557	0.3296017557	0	1	FALSE							0	0	1	0	1	1
A498	PI	SF	Synergy?	Synergy!	Synergy?			-0.1237900046	-0.1652219942	207197.2352	207197.2352	0	1	FALSE							1	1	1	0	1	1
Colo205	CT	SF	Synergy?	Synergy!?	Synergy?			-0.1467539112	-0.1645071847	119732990972	119732990972	0	1	FALSE							1	0	1	0	1	1
SF295	AK	PI		Synergy	Synergy?			-0.1209288546	-0.1641894526	8.62471E+48	8.62471E+48	0	1	FALSE							0	1	1	0	1	1
SF295	BI	P5		-				-0.07508667577	-0.1639647487	1740813.331	1740813.331	0	1	FALSE							0	0	0	0	1	0
Colo205	AK	PI	Synergy?	Synergy?	Synergy?			-0.1162256652	-0.1624168857	3.05824E+27	3.05824E+27	0	1	FALSE							1	1	1	0	1	1
A498	AK	G4	Synergy	Synergy	Synergy	Synergy		-0.1269526245	-0.1623656282	1.29908E+86	1.29908E+86	1	1	TRUE							1	1	1	1	1	1
Colo205	BI	PI	Synergy	Synergy	Synergy	Synergy		-0.1204457019	-0.1616459717	0.03928949543	0.03928949543	1	1	TRUE							1	1	1	1	1	1
SW620	JN	D1		Synergy?	Synergy?			-0.1373481772	-0.1598753419	2.688460629	2.688460629	0	1	FALSE							0	1	1	0	1	1
A498	D1	SF	Synergy?	Synergy?	Synergy?			-0.1106554963	-0.1570099913	NA	0	0	1	FALSE							1	1	1	0	1	1
DU145	SF	G2	Synergy?	Synergy?	Synergy			-0.1706130633	-0.1567121331	0.8840087981	0.8840087981	0	1	FALSE							1	1	1	0	1	1
SF295	AK	JN	Synergy?	-	Synergy?			-0.1138174781	-0.1555361143	7.90821E+43	7.90821E+43	0	1	FALSE							1	0	1	0	1	1
DU145	PI	D1	Synergy?	Synergy	Synergy			-0.1927748686	-0.1534010919	1.858274743	1.858274743	0	1	FALSE							1	1	1	0	1	1
SW620	BI	D1	Synergy	Synergy?	Synergy?			-0.0978018445	-0.1522909467	100583675307	100583675307	0	1	FALSE							1	1	1	0	1	0
A498	PD	P5	Synergy	Synergy	Synergy	Synergy		-0.1667641509	-0.1519147144	1.057742733	1.057742733	1	1	TRUE							1	1	1	1	1	1
MDA-MB-468	60	SF	Synergy	Synergy	Synergy	Synergy		-0.1397609194	-0.151831143	0.3858124322	0.3858124322	1	1	TRUE							1	1	1	1	1	1
MDA-MB-468	D1	SF	Synergy	Synergy	Synergy	Synergy		-0.1791259541	-0.1513435847	1.022491504	1.022491504	1	1	TRUE							1	1	1	1	1	1
AGS	5Z	D1	Synergy	Synergy?	Synergy?			-0.1700161777	-0.151114823	0.4680157232	0.4680157232	0	1	FALSE							1	1	1	0	1	1
DU145	BI	JN		-				-0.0845616596	-0.1483620143	NA	0	0	1	FALSE							0	0	0	0	1	0
UACC62	BI	D1		-				-0.07677136337	-0.1483482719	1.2375E+22	1.2375E+22	0	1	FALSE							0	0	0	0	1	0
UACC62	BI	P5		Synergy?				-0.09875678387	-0.1482120019	8.23411E+38	8.23411E+38	0	1	FALSE							0	1	0	0	1	0
MDA-MB-468	BI	SF	Synergy	Rescue/Synergy?	Synergy			-0.08540178186	-0.1480848198	2.789467233	2.789467233	0	1	FALSE							1	0	1	0	1	0
DU145	JN	P5	Synergy?	Synergy?	Synergy			-0.121541335	-0.1465290353	1.404597387	1.404597387	0	1	FALSE							1	1	1	0	1	1
UACC62	AK	D1		-				-0.08187497101	-0.1456407471	3.87148E+116	3.87148E+116	0	1	FALSE							0	0	0	0	1	0
MDA-MB-468	JN	D1		Synergy	Synergy			-0.2166885188	-0.1446189862	0.2618631323	0.2618631323	0	1	FALSE							0	1	1	0	1	1
Colo205	AK	JN	-	Synergy?				-0.06017362305	-0.1445534215	2828207142961	2828207142961	0	1	FALSE							0	1	0	0	1	0
SW620	CT	D1	Synergy	Synergy?	Synergy			-0.136511277	-0.1438677978	1157.949899	1157.949899	0	1	FALSE							1	1	1	0	1	1
SW620	PK	ST		-			Error in plot	-0.1286448414	-0.1436765013	2.16650705	2.16650705	0	1	FALSE							0	0	0	0	1	1
SF295	AK	P5		-				-0.1053141538	-0.1426959206	8.18862E+41	8.18862E+41	0	1	FALSE							0	0	0	0	1	0
UACC62	BI	G2		Synergy?				-0.09100377126	-0.1420515739	5.41789E+25	5.41789E+25	0	1	FALSE							0	1	0	0	1	0
DU145	JN	D1		Synergy?	Synergy?			-0.1376139212	-0.1419115487	2.986203934	2.986203934	0	1	FALSE							0	1	1	0	1	1
SF295	AK	D1		-	Synergy?			-0.07409920882	-0.141796579	3.27714E+23	3.27714E+23	0	1	FALSE							0	0	1	0	1	0
Colo205	PI	D1		Synergy?	Synergy?			-0.1004390654	-0.141694906	0.08233141273	0.08233141273	0	1	FALSE							0	1	1	0	1	0
AGS	PK	ST	-	-				-0.15712207	-0.1413784039	1.179411086	1.179411086	0	1	FALSE							0	0	0	0	1	1
SW620	SF	P5		Synergy	Synergy?			-0.151438391	-0.1397454531	1.441192109	1.441192109	0	1	FALSE							0	1	1	0	1	1
UACC62	SB	SF	Synergy	Synergy?	Synergy?			-0.1216460706	-0.1393423487	10.71300676	10.71300676	0	1	FALSE							1	1	1	0	1	1
A498	PD	SF	Synergy	Synergy	Synergy	Synergy		-0.1333340761	-0.1389565336	0.4340340266	0.4340340266	1	1	TRUE							1	1	1	1	1	1
DU145	AK	JN		Synergy?	Synergy?			-0.08026824542	-0.1385104992	18670106.56	18670106.56	0	1	FALSE							0	1	1	0	1	0
SF295	G2	P5		-	Synergy?			-0.1442987493	-0.1375781034	4.114594265	4.114594265	0	1	FALSE							0	0	1	0	1	1
Colo205	JN	SF		-				-0.0583130408	-0.1374262445	2.16827E+23	2.16827E+23	0	1	FALSE							0	0	0	0	1	0
SW620	D4	SF	Synergy?	Synergy?	Synergy			-0.1826865638	-0.1370876304	11.77115083	11.77115083	0	1	FALSE							1	1	1	0	1	1
A498	BI	P5	-	-				-0.07287658287	-0.1356856881	11334.91717	11334.91717	0	1	FALSE							0	0	0	0	1	0
Colo205	BI	P5	Synergy	Synergy?	Synergy?			-0.1252780992	-0.1351279709	0.7962118839	0.7962118839	0	1	FALSE							1	1	1	0	1	1
UACC62	JN	P5	Synergy?	Synergy?	Synergy?			-0.1406763238	-0.1345321355	1.081665427	1.081665427	0	1	FALSE							1	1	1	0	1	1
DU145	PK	ST		-				-0.126231621	-0.1343125689	1.970916597	1.970916597	0	1	FALSE							0	0	0	0	1	1
MDA-MB-468	PI	D4	Synergy	Synergy	Synergy	Synergy		-0.1280856198	-0.1337198357	0.7961441528	0.7961441528	1	1	TRUE							1	1	1	1	1	1
DU145	JN	SF		Synergy?	Synergy?			-0.09216875142	-0.1334241698	549.0261501	549.0261501	0	1	FALSE							0	1	1	0	1	0
Colo205	PI	SF		Synergy?	Synergy?			-0.08916091541	-0.1332783153	1.98132E+24	1.98132E+24	0	1	FALSE							0	1	1	0	1	0
MDA-MB-468	CT	PI	Synergy	Synergy	Synergy	Synergy		-0.132746546	-0.132942128	0.1766906017	0.1766906017	1	1	TRUE							1	1	1	1	1	1
Colo205	SF	G2	Synergy?	Synergy?	Synergy?			-0.115511719	-0.1322834252	1.072269443	1.072269443	0	1	FALSE							1	1	1	0	1	1
A498	PI	JN	Synergy?	Synergy?	Synergy?			-0.09649235768	-0.1311418928	2.961931377	2.961931377	0	1	FALSE							1	1	1	0	1	0
SF295	D4	SF		-	Synergy?			-0.1152242509	-0.1301691362	973456327.3	973456327.3	0	1	FALSE							0	0	1	0	1	1
UACC62	PK	ST		-			Error in plot	-0.1231152775	-0.1300172886	2.013486741	2.013486741	0	1	FALSE							0	0	0	0	1	1
UACC62	AK	P5	Synergy?	Synergy?				-0.1023051757	-0.1299168714	NA	0	0	1	FALSE							1	1	0	0	1	0
A498	AK	D1	Synergy	Synergy	Synergy?			-0.09184396248	-0.1298265811	NA	0	0	1	FALSE							1	1	1	0	1	0
A498	AK	60	Synergy	Synergy	Synergy	Synergy		-0.1167267397	-0.1295893903	1.93487E+77	1.93487E+77	1	1	TRUE							1	1	1	1	1	1
SF295	BI	JN		-				-0.03749733313	-0.1277643135	121434.8668	121434.8668	0	1	FALSE							0	0	0	0	1	0
UACC62	D1	G4		-				-0.08242058228	-0.1274294507	31.29029414	31.29029414	0	1	FALSE							0	0	0	0	1	0
DU145	AK	G4	Synergy	-	Synergy?			-0.09538271075	-0.1269822152	2473574.235	2473574.235	0	1	FALSE							1	0	1	0	1	0
A498	60	SF	-	Synergy?	Synergy?			-0.1133066265	-0.1265088664	40084396932	40084396932	0	1	FALSE			Evelina vs HSA	0.5519635044			0	1	1	0	1	1
UACC62	SF	ST		-				-0.09943110119	-0.1259983639	118.3788322	118.3788322	0	1	FALSE							0	0	0	0	1	0
Colo205	PK	ST		-				-0.1176922763	-0.1252866114	2.012275492	2.012275492	0	1	FALSE							0	0	0	0	1	1
DU145	SF	P5		Synergy?				-0.1357140614	-0.1252085215	4.142976025	4.142976025	0	1	FALSE							0	1	0	0	1	1
A498	D1	G4	Synergy?	Synergy?	Synergy?			-0.0839018466	-0.1251946778	NA	0	0	1	FALSE							1	1	1	0	1	0
Colo205	JN	P5		-				-0.0622505356	-0.1249217553	3.340534399	3.340534399	0	1	FALSE							0	0	0	0	1	0
A498	AK	PI	Synergy?	Synergy?	Synergy?			-0.08058374286	-0.1242463834	3.20867E+21	3.20867E+21	0	1	FALSE							1	1	1	0	1	0
SW620	JN	SF	Synergy	Synergy	Synergy?			-0.1482444075	-0.1239370646	6.472637919	6.472637919	0	1	FALSE							1	1	1	0	1	1
SF295	AK	G2		Synergy?				-0.09912025018	-0.1236027379	1.23207E+83	1.23207E+83	0	1	FALSE							0	1	0	0	1	0
Colo205	BI	JN	-	-				-0.05177634323	-0.1235327684	3758770.092	3758770.092	0	1	FALSE							0	0	0	0	1	0
MDA-MB-468	SF	P5	Synergy	Synergy	Synergy	Synergy		-0.1430594303	-0.1228138277	3.534835577	3.534835577	1	1	TRUE							1	1	1	1	1	1
AGS	BI	SF	Synergy	Synergy	Synergy	Synergy		-0.1419319659	-0.1220992654	5.664943194	5.664943194	1	1	TRUE							1	1	1	1	1	1
SW620	D1	SF	Synergy	Synergy?	Synergy?			-0.1164111989	-0.1219712573	2.785841337	2.785841337	0	1	FALSE							1	1	1	0	1	1
UACC62	ST	G2	Synergy	Synergy?				-0.1133228167	-0.1219468829	2.316090472	2.316090472	0	1	FALSE							1	1	0	0	1	1
SF295	D1	P5		-				-0.05460092688	-0.12186636	81481406390	81481406390	0	1	FALSE							0	0	0	0	1	0
DU145	AK	D4	Synergy	Synergy?	Synergy?			-0.1022171232	-0.1208708868	68022.11522	68022.11522	0	1	FALSE							1	1	1	0	1	0
SF295	AK	ST		-				-0.08512298255	-0.1208171903	6.87245E+100	6.87245E+100	0	1	FALSE							0	0	0	0	1	0
UACC62	CT	PI	Synergy	Synergy	Synergy	Synergy		-0.1372875523	-0.1190001381	3.352738328	3.352738328	1	1	TRUE							1	1	1	1	1	1
MDA-MB-468	BI	JN		-				-0.04448622888	-0.1184997521	0.6244335541	0.6244335541	0	1	FALSE							0	0	0	0	1	0
DU145	JN	ST		-				-0.08013718388	-0.118448323	3.197867847	3.197867847	0	1	FALSE							0	0	0	0	1	0
Colo205	AK	G4	Synergy	Synergy?	Synergy?			-0.09575286372	-0.1184321605	73771314235	73771314235	0	1	FALSE							1	1	1	0	1	0
SF295	CT	PI	Synergy?	Synergy?	Synergy?			-0.1463330212	-0.1180732827	1.597853288	1.597853288	0	1	FALSE							1	1	1	0	1	1
A498	5Z	SF	Synergy	Synergy?	Synergy			-0.110559464	-0.1179201986	1.651862785	1.651862785	0	1	FALSE							1	1	1	0	1	1
A498	PD	PI	Synergy?	Synergy?	Synergy?			-0.09348245023	-0.1169793318	29.86818912	29.86818912	0	1	FALSE							1	1	1	0	1	0
SW620	D1	P5		Synergy?	Synergy?			-0.09371020478	-0.1168899413	3.868556533	3.868556533	0	1	FALSE							0	1	1	0	1	0
SF295	60	SF		-				-0.1037256567	-0.1168511597	11016875627	11016875627	0	1	FALSE							0	0	0	0	1	0
AGS	AK	D1	Synergy?	Synergy	Synergy			-0.132402714	-0.1167305145	1.917162346	1.917162346	0	1	FALSE							1	1	1	0	1	1
UACC62	5Z	D1		-				-0.08543572067	-0.1163029981	1.850034185	1.850034185	0	1	FALSE							0	0	0	0	1	0
SF295	BI	D1		Nothing				-0.01223981134	-0.1160694097	41.20907479	41.20907479	0	1	FALSE							0	0	0	0	1	0
SW620	BI	P5		-				-0.08675524719	-0.1159930192	9436059501640	9436059501640	0	1	FALSE							0	0	0	0	1	0
MDA-MB-468	PI	P5		-				-0.07348347371	-0.1156560306	0.6372137993	0.6372137993	0	1	FALSE							0	0	0	0	1	0
AGS	BI	D1	Synergy	Synergy	Synergy	Synergy		-0.1327403278	-0.1153262698	4.371165394	4.371165394	1	1	TRUE							1	1	1	1	1	1
UACC62	AK	RU		-				-0.06598929275	-0.114835841	NA	0	0	1	FALSE							0	0	0	0	1	0
SW620	BI	JN		-				-0.08623443096	-0.1145145849	144682183340	144682183340	0	1	FALSE							0	0	0	0	1	0
SF295	SF	ST		-				-0.07935581215	-0.1142424864	3150811918118	3150811918118	0	1	FALSE							0	0	0	0	1	0
UACC62	D1	P5		Synergy?				-0.06371665955	-0.1141251125	2603.894817	2603.894817	0	1	FALSE							0	1	0	0	1	0
SW620	60	SF	Synergy?	Synergy?	Synergy?			-0.1280107595	-0.1140751793	NA	0	0	1	FALSE							1	1	1	0	1	1
DU145	5Z	CT	Synergy?	-	Synergy?			-0.111020548	-0.1137395971	1.902683727	1.902683727	0	1	FALSE							1	0	1	0	1	1
Colo205	SF	P5		-				-0.09147980641	-0.113622407	1.662279097	1.662279097	0	1	FALSE							0	0	0	0	1	0
SF295	AK	60		-				-0.08520147136	-0.1135756718	282662619681	282662619681	0	1	FALSE							0	0	0	0	1	0
SW620	5Z	D1		-				-0.09344180343	-0.1135407693	3.31328281	3.31328281	0	1	FALSE							0	0	0	0	1	0
A498	PI	P5	-	-				-0.07622998789	-0.1113596721	1.428720354	1.428720354	0	1	FALSE							0	0	0	0	1	0
MDA-MB-468	PD	P5	Synergy	Synergy?	Synergy			-0.1205574466	-0.1111346805	0.1585770445	0.1585770445	0	1	FALSE							1	1	1	0	1	1
SF295	PI	60		-	Synergy?			-0.08579866545	-0.1108913181	7.02103E+27	7.02103E+27	0	1	FALSE							0	0	1	0	1	0
MDA-MB-468	PD	PI	Synergy	Synergy	Synergy	Synergy		-0.1151782834	-0.1097865844	0.8624251694	0.8624251694	1	1	TRUE							1	1	1	1	0	1
UACC62	PD	G2		Synergy				-0.1309122302	-0.1097512824	0.2572790134	0.2572790134	0	1	FALSE							0	1	0	0	0	1
DU145	PI	P5	Synergy?	Synergy?	Synergy?			-0.1462635872	-0.1097491443	2.394063093	2.394063093	0	1	FALSE							1	1	1	0	0	1
UACC62	AK	D4		-				-0.08317310619	-0.1083828111	4.12938E+112	4.12938E+112	0	1	FALSE							0	0	0	0	0	0
A498	D1	P5	-	-				-0.07169721968	-0.1082685651	NA	0	0	1	FALSE							0	0	0	0	0	0
DU145	G2	P5		Synergy?				-0.1617222861	-0.1079412229	0.9918868933	0.9918868933	0	1	FALSE							0	1	0	0	0	1
UACC62	AK	PI	Synergy?	Synergy?	Synergy?			-0.06910420886	-0.1074060363	1.0926E+93	1.0926E+93	0	1	FALSE							1	1	1	0	0	0
DU145	AK	P5	Synergy?	-				-0.09018960507	-0.1073936005	2.53974E+19	2.53974E+19	0	1	FALSE							1	0	0	0	0	0
DU145	BI	P5		-				-0.07247425884	-0.1068511216	NA	0	0	1	FALSE							0	0	0	0	0	0
